Metal	F0 (linear Rec. 709)	F82 tint (linear Rec. 709)	F0 (8-bit sRGB)	F82 tint (8-bit sRGB)
Ag	(0.9868, 0.9830, 0.9667)	(0.9929, 0.9961, 1.0000)	(254, 253, 251)	(254, 255, 255)
Al	(0.9157, 0.9226, 0.9236)	(0.9090, 0.9365, 0.9596)	(245, 246, 246)	(245, 248, 250)
Au	(1.0000, 0.7099, 0.3148)	(0.9408, 0.9636, 0.9099)	(255, 219, 152)	(248, 251, 245)
Cr	(0.5496, 0.5561, 0.5531)	(0.7372, 0.7511, 0.8170)	(196, 197, 196)	(223, 225, 233)
Cu	(1.0000, 0.6504, 0.5274)	(0.9755, 0.9349, 0.9301)	(255, 211, 192)	(252, 248, 247)
Fe	(0.8951, 0.8755, 0.8154)	(0.8551, 0.8800, 0.8966)	(243, 241, 233)	(238, 241, 243)
Hg	(0.7815, 0.7795, 0.7783)	(0.8103, 0.8532, 0.9046)	(229, 228, 228)	(232, 238, 244)
Mg	(0.8918, 0.8821, 0.8948)	(0.8949, 0.9147, 0.9504)	(242, 241, 243)	(243, 245, 249)
Ni	(0.7014, 0.6382, 0.5593)	(0.8134, 0.8352, 0.8725)	(218, 209, 197)	(233, 236, 240)
Pd	(0.7363, 0.7023, 0.6602)	(0.8095, 0.8369, 0.8739)	(223, 218, 212)	(232, 236, 240)
Pt	(0.9602, 0.9317, 0.8260)	(0.9501, 0.9461, 0.9352)	(250, 247, 234)	(249, 249, 248)
Ti	(0.4432, 0.3993, 0.3599)	(0.8627, 0.9066, 0.9481)	(178, 169, 162)	(239, 244, 249)
Zn	(0.8759, 0.8685, 0.8542)	(0.8769, 0.9037, 0.9341)	(241, 240, 238)	(241, 244, 247)